FolioURN,ImageURN
urn:cite:bla:bbb318.38v,urn:cite:ecodices:bbb318img.bbb318_038v
urn:cite:bla:bbb318.39r,urn:cite:ecodices:bbb318img.bbb318_039r
urn:cite:bla:bbb318.39v,urn:cite:ecodices:bbb318img.bbb318_039v
urn:cite:bla:bbb318.40r,urn:cite:ecodices:bbb318img.bbb318_040r
urn:cite:bla:bbb318.40v,urn:cite:ecodices:bbb318img.bbb318_040v
urn:cite:bla:bbb318.41r,urn:cite:ecodices:bbb318img.bbb318_041r
urn:cite:bla:bbb318.41v,urn:cite:ecodices:bbb318img.bbb318_041v
urn:cite:bla:bbb318.42r,urn:cite:ecodices:bbb318img.bbb318_042r
urn:cite:bla:bbb318.42v,urn:cite:ecodices:bbb318img.bbb318_042v
urn:cite:bla:bbb318.43r,urn:cite:ecodices:bbb318img.bbb318_043r
urn:cite:bla:bbb318.43v,urn:cite:ecodices:bbb318img.bbb318_043v
urn:cite:bla:bbb318.44r,urn:cite:ecodices:bbb318img.bbb318_044r
urn:cite:bla:bbb318.44v,urn:cite:ecodices:bbb318img.bbb318_044v
urn:cite:bla:bbb318.45r,urn:cite:ecodices:bbb318img.bbb318_045r
urn:cite:bla:bbb318.45v,urn:cite:ecodices:bbb318img.bbb318_045v
urn:cite:bla:bbb318.46r,urn:cite:ecodices:bbb318img.bbb318_046r
urn:cite:bla:bbb318.46v,urn:cite:ecodices:bbb318img.bbb318_046v
urn:cite:bla:bbb318.47r,urn:cite:ecodices:bbb318img.bbb318_047r
urn:cite:bla:bbb318.47v,urn:cite:ecodices:bbb318img.bbb318_047v
urn:cite:bla:bbb318.48r,urn:cite:ecodices:bbb318img.bbb318_048r
urn:cite:bla:bbb318.48v,urn:cite:ecodices:bbb318img.bbb318_048v
urn:cite:bla:bbb318.49r,urn:cite:ecodices:bbb318img.bbb318_049r
urn:cite:bla:bbb318.49v,urn:cite:ecodices:bbb318img.bbb318_049v
urn:cite:bla:bbb318.50r,urn:cite:ecodices:bbb318img.bbb318_050r
